Text;Size
salieron;11
morir;11
bosque;11
labradora;11
procura;11
alcanza;11
sacado;11
maleta;11
cara;11
piensa;11
sierras;11
prudencia;11
camisa;11
humana;11
pagado;11
humano;11
echado;11
larga;11
estruendo;11
suspiro;11
hierro;11
ventaja;10
sano;10
quienquiera;10
romance;10
famosa;10
alzando;10
ovejas;10
campos;10
desear;10
buscarle;10
corte;10
den;10
desdenes;10
muelas;10
cuesta;10
prudente;10
verdaderos;10
hombros;10
entrada;10
prometo;10
valer;10
trigo;10
llevase;10
improviso;10
quieras;10
instrumento;10
hermoso;10
testigos;10
llena;10
oreja;10
bella;10
curioso;10
imaginaba;10
espanto;10
desesperado;10
mirase;10
agujero;10
pelea;10
cobrar;10
cien;10
corona;10
quejas;10
riquezas;10
noches;10
piernas;10
luna;10
vale;10
tocaba;10
juramento;10
hablaba;10
leal;10
canta;10
prometida;10
caminantes;10
beber;10
ponga;10
leyendo;10
desmayada;10
paga;10
lienzo;10
mandaba;10
jurar;10
escritos;10
mes;10
naturales;10
condado;10
principales;10
yendo;10
decidme;10
tome;10
ordinario;10
vuelve;10
volviendo;10
viesen;10
ancas;10
rodela;10
dellas;10
consejos;10
propuso;10
claras;10
levantado;10
hallarse;10
discretas;10
cautiva;10
faltado;10
proseguir;10
temer;10
burlas;10
mostrarse;10
diablos;10
diego;10
costillas;10
blanca;10
comisario;10
diere;10
accidente;10
atrevimiento;10
mostrado;10
responde;10
poniendo;10
fatiga;10
quedase;10
supiera;10
imagen;10
cruz;10
digna;10
debo;10
paraba;10
rogar;10
enemiga;10
miserable;10
desa;10
guardas;9
pido;9
honesto;9
halla;9
laberinto;9
cerrado;9
encantamentos;9
darte;9
recebido;9
batanes;9
grave;9
prosigue;9
turco;9
hacerle;9
premio;9
callar;9
pudieran;9
rabia;9
dijera;9
huir;9
miente;9
hombro;9
frailes;9
discursos;9
do;9
pintado;9
bachiller;9
quisieron;9
jornada;9
justas;9
noble;9
dignas;9
atrevido;9
seco;9
escondido;9
levantarse;9
amiga;9
bienes;9
alabanza;9
cuantas;9
azotes;9
solicitud;9
arrieros;9
pobreza;9
arrogante;9
manifiesto;9
pedido;9
flores;9
sentado;9
encubrir;9
detuvo;9
crueldad;9
recebir;9
aventurero;9
contando;9
callaba;9
harto;9
cuita;9
pudiendo;9
razonable;9
suspensos;9
acabada;9
falso;9
molino;9
maldiciones;9
plaza;9
vano;9
tocar;9
riqueza;9
hablado;9
queso;9
pardo;9
cobarde;9
escuchaba;9
gobernador;9
estimar;9
canto;9
almas;9
derecha;9
vulgo;9
quite;9
carga;9
sospechas;9
conviene;9
defender;9
andas;9
andan;9
color;9
gentileza;9
cantaba;9
procurar;9
imitar;9
caminante;9
cabestro;9
amenazas;9
gritos;9
quemar;9
pudiere;9
descanso;9
despojos;9
vengo;9
desmayo;9
llanto;9
cola;9
justa;9
contentos;9
liberal;9
compadre;9
juramentos;9
amante;9
sacarle;9
procuraba;9
atentamente;9
hagan;9
traen;9
cansado;9
cumplido;9
concertado;9
menudo;9
abriendo;9
contigo;9
vine;9
deciros;9
apacible;9
dedo;9
fuertemente;9
volvieron;9
molinos;9
mortal;9
abrazar;9
acomodado;9
dello;9
grecia;9
prendas;8
flor;8
caballeriza;8
rostros;8
vinieron;8
clavija;8
salario;8
corre;8
corta;8
temo;8
entendido;8
testamento;8
incomparable;8
malicia;8
lunar;8
cerrada;8
cometido;8
malo;8
mata;8
blancas;8
vee;8
ven;8
estacas;8
sustentar;8
sentimientos;8
linda;8
entrando;8
gallardo;8
supe;8
llega;8
rara;8
duerme;8
desatino;8
librillo;8
ayudar;8
heridas;8
quietud;8
lago;8
autores;8
disparate;8
soltar;8
labios;8
amantes;8
difunto;8
firma;8
milagros;8
miraba;8
negro;8
maravilla;8
venimos;8
determinaron;8
letura;8
error;8
mandar;8
clori;8
ladrones;8
escrita;8
desaguisado;8
galeote;8
llamarse;8
armados;8
enfermedad;8
descomunal;8
acababa;8
excusar;8
falsa;8
sabiendo;8
disculpa;8
hermosas;8
hojas;8
acabase;8
escritura;8
cinchas;8
llenas;8
dondequiera;8
aires;8
confianza;8
llenos;8
escuchado;8
licor;8
miraban;8
contraria;8
repuesto;8
presa;8
vencido;8
mientes;8
pechos;8
patria;8
maese;8
ajena;8
cubierto;8
rienda;8
sabed;8
materia;8
rayos;8
lenguas;8
pollinos;8
deshacer;8
ofrece;8
negros;8
ruegos;8
rueda;8
amado;8
vencedor;8
callando;8
dichoso;8
amorosa;8
estrellas;8
pasara;8
non;8
compuesto;8
tiento;8
cansancio;8
veis;8
acabaron;8
billete;8
montes;8
alcuza;8
padece;8
pura;8
casar;8
ingenios;8
felice;8
querida;8
prosiguiendo;8
carrera;8
advertido;8
satisfacer;8
honrados;8
pro;8
ganar;8
subieron;8
toledo;8
tuviere;8
estrella;8
libres;8
traer;8
antigua;8
dejaban;8
esfuerzo;8
pregunta;8
buscaba;8
soledades;8
admirar;8
osuna;8
armada;8
curar;8
usado;8
deshora;8
deje;8
amar;8
dejo;8
dejara;8
asperezas;8
recado;8
castigo;8
admirados;8
deso;8
cebada;8
guardado;8
tristeza;8
indicio;8
guarde;7
gonzalo;7
cid;7
regalo;7
ropa;7
pecados;7
raras;7
sirva;7
disparatados;7
sirve;7
manso;7
comenzaba;7
mercader;7
ofrecer;7
almohada;7
cuchilladas;7
tomad;7
bardas;7
ilustre;7
arena;7
imperio;7
quince;7
morena;7
sucediese;7
anoche;7
malezas;7
declaraba;7
detener;7
pierna;7
cena;7
azote;7
remediar;7
pasatiempo;7
tinto;7
darles;7
entiende;7
llevo;7
prenda;7
corriendo;7
llamando;7
conoce;7
juntas;7
ea;7
muchacha;7
mentirosos;7
quedos;7
entra;7
acontecido;7
pierda;7
castigar;7
hablase;7
abierto;7
virtudes;7
suelta;7
cartas;7
quitan;7
fatigaba;7
diole;7
vidas;7
advierta;7
quijada;7
socorrer;7
torno;7
costal;7
tardanza;7
toque;7
prado;7
misericordia;7
negra;7
dimos;7
maltrecho;7
ratos;7
socorro;7
bulto;7
diesen;7
ejemplos;7
camisas;7
llamaban;7
franceses;7
habilidad;7
olor;7
medroso;7
tormento;7
vuelven;7
mantua;7
narices;7
sosegado;7
entierro;7
costumbres;7
llevarle;7
manteles;7
ligera;7
candil;7
viniera;7
huesos;7
criadas;7
quejarse;7
encomendarse;7
enviado;7
molde;7
cadenas;7
matrimonio;7
estribos;7
acuerda;7
sabor;7
encuentro;7
tornaron;7
pluma;7
asturiana;7
profundo;7
pase;7
verano;7
acabe;7
despacio;7
comedimiento;7
conocieron;7
espuelas;7
cubierta;7
infinitos;7
cuchillada;7
quedaban;7
parezca;7
recibir;7
tesoro;7
puntualidad;7
acertar;7
toma;7
amada;7
humildad;7
vuelva;7
trataba;7
lorenzo;7
maestro;7
vete;7
alegres;7
merecido;7
ora;7
puta;7
come;7
puro;7
izquierdo;7
siguieron;7
inconveniente;7
denuedo;7
posada;7
viernes;7
componen;7
tronco;7
traza;7
siguiese;7
hurto;7
decirte;7
suceden;7
colgado;7
respetos;7
gitano;7
blanda;7
entereza;7
lealtad;7
comida;7
causas;7
antiguo;7
dejes;7
menesterosa;7
averiguar;7
recibido;7
amadises;7
agi;7
guisa;7
nobleza;7
yace;7
alba;7
menoscabo;7
morato;7
hircania;7
consiste;7
claramente;7
llano;7
llamo;7
antiguos;7
quedara;7
limpia;7
limpio;7
andando;7
tratan;7
sal;7
preguntado;7
circunstantes;7
lastimada;7
mentir;7
freno;7
faltan;7
espadas;7
digan;7
mudanza;7
quedamos;7
verso;7
cae;7
casarme;7
rendido;7
asida;6
asido;6
dormido;6
apartado;6
estarse;6
llamada;6
remos;6
pasando;6
comprar;6
encantadores;6
advertir;6
halle;6
conocidos;6
demanda;6
volviesen;6
vencimiento;6
extremadura;6
anduvo;6
cantar;6
corso;6
acabando;6
tocantes;6
casamiento;6
darse;6
sudor;6
gobernar;6
imaginando;6
tuerto;6
recebida;6
consiente;6
saliendo;6
escuchar;6
contornos;6
vas;6
carnes;6
entretenimiento;6
sirven;6
empleada;6
dificultades;6
mezcla;6
hacerla;6
ventanas;6
ajenas;6
luengos;6
cuero;6
lleve;6
representan;6
memorias;6
aventureros;6
quebrantado;6
gala;6
recogiendo;6
justos;6
vistas;6
heredera;6
hideputa;6
hachas;6
diligencias;6
criatura;6
huyendo;6
iguala;6
poblado;6
llegamos;6
considerar;6
norte;6
seno;6
estrecho;6
contienen;6
veamos;6
castillos;6
tomaba;6
amparo;6
pidiendo;6
lana;6
parientes;6
sabios;6
zapatos;6
pedirle;6
encierra;6
duermen;6
tomase;6
alzar;6
sujetos;6
contiene;6
calla;6
santo;6
alcaide;6
movimientos;6
piensas;6
admirada;6
ruin;6
brevemente;6
espantable;6
prometer;6
dedos;6
cielos;6
trueco;6
regocijo;6
gobierno;6
sosegada;6
adorno;6
ginesillo;6
muestre;6
honroso;6
saque;6
consolar;6
hubiere;6
ignorancia;6
zagal;6
sentir;6
queriendo;6
acomodarse;6
humanas;6
desdicha;6
movimiento;6
trajes;6
suceda;6
viera;6
cuyos;6
morisco;6
vivos;6
escogido;6
haberla;6
apariencia;6
apartarse;6
venturoso;6
vengar;6
lea;6
preso;6
aprovechar;6
quedarse;6
castilla;6
manteado;6
hable;6
monte;6
alejandro;6
fiero;6
ricardo;6
inconvenientes;6
concedido;6
entero;6
tenerla;6
escritas;6
ciencia;6
senda;6
cubrir;6
polvo;6
valencia;6
desaforados;6
abrir;6
ofender;6
tono;6
honor;6
osaba;6
bastaba;6
argamasilla;6
dichosa;6
pensaban;6
pasase;6
agramante;6
riscos;6
merecen;6
poderosa;6
poderoso;6
pensase;6
vender;6
vean;6
compuesta;6
grandezas;6
ducados;6
hilas;6
abundancia;6
romper;6
muriendo;6
deseaban;6
venid;6
caber;6
fiesta;6
vence;6
descubrir;6
vencer;6
sepan;6
sepas;6
concierto;6
hallarle;6
profesan;6
compuso;6
heridos;6
cuentos;6
peligrosa;6
agradezco;6
vestida;6
ceremonias;6
cintura;6
infame;6
dejan;6
encantamientos;6
letrados;6
dejarme;6
calzones;6
quitaron;6
rodrigo;6
tuertos;6
fasta;6
amorosas;6
simplicidad;6
seguramente;6
venideros;6
encaminaban;6
misterio;6
voluntades;6
trujeron;6
desnudez;6
alcornoque;6
simples;6
pandafilando;6
considerando;6
tristes;6
llegase;6
torralva;6
atadas;6
humilde;6
dura;6
primeras;6
salteador;6
llegaban;6
cerrar;6
deleitar;6
trujo;6
sed;6
pique;6
dijesen;6
mueva;6
digas;6
averiguado;6
pareciese;6
guardaba;6
temerosos;6
comenzar;6
ten;5
titulo;5
bastantes;5
advirtiese;5
hueso;5
pila;5
pides;5
apearse;5
jurado;5
carneros;5
acogimiento;5
derechos;5
aprovecharse;5
apetito;5
corto;5
nubes;5
hiciesen;5
coloquios;5
debieron;5
nube;5
nudo;5
nacimiento;5
palmo;5
enano;5
bernardo;5
necio;5
boyero;5
alboroto;5
descubriese;5
entretanto;5
aceite;5
embestir;5
hueco;5
seguros;5
conducido;5
despedirse;5
escribe;5
descubre;5
mate;5
rogaron;5
nacidos;5
indias;5
acrecentar;5
acomodados;5
derrota;5
secretos;5
hamete;5
echaron;5
gallarda;5
enjaulado;5
dijere;5
cuarenta;5
renta;5
hallara;5
ocasiones;5
desagradecido;5
camarada;5
representar;5
hallase;5
claridad;5
decille;5
humo;5
mozas;5
feo;5
retrato;5
quisieren;5
piadoso;5
gato;5
heredero;5
defenderme;5
viejos;5
raya;5
leyese;5
amarga;5
placer;5
escondida;5
vicente;5
continuos;5
dejalle;5
levantaron;5
prosupuesto;5
singular;5
so;5
pesaba;5
pierde;5
pudiesen;5
manchego;5
corrido;5
salen;5
invenciones;5
